year,score
1961,6.14
1962,6.05
1963,6.15
1964,5.97
1965,5.953333333333333
1966,5.99125
1967,6.3229999999999995
1968,6.417272727272728
1969,6.549090909090908
1970,6.513333333333333
1971,6.257857142857143
1972,6.358181818181818
1973,6.354444444444444
1974,6.349473684210526
1975,6.523809523809524
1976,6.352727272727273
1977,6.44625
1978,6.9655000000000005
1979,6.605416666666667
1980,6.636
1981,6.715862068965517
1982,6.614444444444445
1983,6.705555555555556
1984,6.50764705882353
1985,6.897777777777778
1986,6.7303999999999995
1987,6.6788
1988,6.620909090909091
1989,6.769705882352941
1990,6.768260869565217
1991,6.751212121212121
1992,6.688571428571429
1993,7.107619047619047
1994,6.79969696969697
1995,7.106470588235294
1996,7.246176470588235
1997,6.741951219512195
1998,6.728169014084507
1999,6.727386363636364
2000,6.82
2001,6.71047619047619
2002,6.8341463414634145
2003,6.74752380952381
2004,6.8377685950413225
2005,6.971559633027523
2006,6.886441717791411
2007,7.017794117647059
2008,7.057925925925926
2009,7.07032
2010,6.993669724770641
2011,6.920758620689655
2012,7.05006711409396
2013,6.81475138121547
2014,6.803961352657005
2015,6.76045
2016,6.676724137931035
2017,6.6101363636363635
2018,6.8085589519650656
2019,6.803465909090909
2020,6.790581395348838
2021,6.897106598984772
2022,6.975811518324608
2023,7.033681818181819
2024,7.054799999999999
2025,6.9676136363636365
