year,count
1961,1
1962,1
1963,5
1964,4
1965,12
1966,11
1967,15
1968,14
1969,16
1970,17
1971,16
1972,15
1973,18
1974,22
1975,21
1976,25
1977,27
1978,22
1979,25
1980,28
1981,30
1982,29
1983,37
1984,37
1985,20
1986,27
1987,30
1988,38
1989,38
1990,29
1991,39
1992,44
1993,23
1994,37
1995,41
1996,40
1997,46
1998,80
1999,93
2000,61
2001,95
2002,91
2003,112
2004,131
2005,121
2006,194
2007,164
2008,159
2009,163
2010,141
2011,188
2012,187
2013,223
2014,241
2015,245
2016,283
2017,281
2018,281
2019,229
2020,220
2021,245
2022,236
2023,285
2024,283
2025,286
2026,53
