mal_id,title,type,episodes,score,status,year
1,Cowboy Bebop,TV,26,8.75,Finished Airing,1998
5,Cowboy Bebop: Tengoku no Tobira,Movie,1,8.38,Finished Airing,
6,Trigun,TV,26,8.22,Finished Airing,1998
7,Witch Hunter Robin,TV,26,7.23,Finished Airing,2002
8,Bouken Ou Beet,TV,52,6.92,Finished Airing,2004
15,Eyeshield 21,TV,145,7.91,Finished Airing,2005
16,Hachimitsu to Clover,TV,24,7.98,Finished Airing,2005
17,Hungry Heart: Wild Striker,TV,52,7.54,Finished Airing,2002
18,Initial D Fourth Stage,TV,24,8.17,Finished Airing,2004
19,Monster,TV,74,8.89,Finished Airing,2004
20,Naruto,TV,220,8.01,Finished Airing,2002
21,One Piece,TV,,8.73,Currently Airing,1999
22,Tennis no Oujisama,TV,178,7.84,Finished Airing,2001
23,Ring ni Kakero 1,TV,12,6.35,Finished Airing,2004
24,School Rumble,TV,26,7.88,Finished Airing,2004
25,Sunabouzu,TV,24,7.36,Finished Airing,2004
26,Texhnolyze,TV,22,7.75,Finished Airing,2003
27,Trinity Blood,TV,24,7.28,Finished Airing,2005
28,Yakitate!! Japan,TV,69,7.91,Finished Airing,2004
29,Zipang,TV,26,7.49,Finished Airing,2004
30,Shinseiki Evangelion,TV,26,8.36,Finished Airing,1995
31,Shinseiki Evangelion Movie: Shi to Shinsei,Movie,1,7.49,Finished Airing,
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,8.56,Finished Airing,
33,Kenpuu Denki Berserk,TV,25,8.6,Finished Airing,1997
43,Koukaku Kidoutai,Movie,1,8.27,Finished Airing,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,8.69,Finished Airing,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,8.28,Finished Airing,1996
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1,7.55,Finished Airing,
47,Akira,Movie,1,8.16,Finished Airing,
48,.hack//Sign,TV,26,6.94,Finished Airing,2002
49,Aa! Megami-sama!,OVA,5,7.28,Finished Airing,
50,Aa! Megami-sama! (TV),TV,24,7.31,Finished Airing,2005
51,Tenshi Kinryouku,OVA,3,6.24,Finished Airing,
52,Kidou Tenshi Angelic Layer,TV,26,7.26,Finished Airing,2001
53,Ai Yori Aoshi,TV,24,7.1,Finished Airing,2002
54,Appleseed (Movie),Movie,1,7.05,Finished Airing,
55,Arc the Lad,TV,26,6.48,Finished Airing,1999
56,Avenger,TV,13,5.85,Finished Airing,2003
57,Beck,TV,26,8.29,Finished Airing,2004
58,Blue Gender,TV,26,7.01,Finished Airing,1999
59,Chobits,TV,26,7.39,Finished Airing,2002
60,Chrno Crusade,TV,24,7.6,Finished Airing,2003
61,D.N.Angel,TV,26,7.15,Finished Airing,2003
62,D.C.: Da Capo,TV,26,6.7,Finished Airing,2003
63,DearS,TV,12,6.54,Finished Airing,2004
64,Rozen Maiden,TV,12,7.4,Finished Airing,2004
65,Rozen Maiden: Träumend,TV,12,7.61,Finished Airing,2005
66,Azumanga Daiou The Animation,TV,26,8.06,Finished Airing,2002
67,Basilisk: Kouga Ninpou Chou,TV,24,7.53,Finished Airing,2005
68,Black Cat,TV,23,7.31,Finished Airing,2005
69,Cluster Edge,TV,25,6.31,Finished Airing,2005
71,Full Metal Panic!,TV,24,7.59,Finished Airing,2002
72,Full Metal Panic? Fumoffu,TV,12,8.02,Finished Airing,2003
73,Full Metal Panic! The Second Raid,TV,13,7.91,Finished Airing,2005
74,Gakuen Alice,TV,26,7.64,Finished Airing,2004
75,Soukyuu no Fafner: Dead Aggressor,TV,25,7.25,Finished Airing,2004
76,Mahou Shoujo Lyrical Nanoha,TV,13,7.41,Finished Airing,2004
77,Mahou Shoujo Lyrical Nanoha A's,TV,13,7.95,Finished Airing,2005
79,Shuffle!,TV,24,7,Finished Airing,2005
80,Kidou Senshi Gundam,TV,43,7.77,Finished Airing,1979
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA,12,7.99,Finished Airing,
